txHash,SenderAddress,ReceiverAddress,Amount,Time
C7BCE6166859A8C3BCEFE82FB099D10823E118ACE92F226D5E6840E0DD3B4EE9,osmo1s0z6sqmg2s3fmu3aqyf8ap82cwsj239m6z2alc,cosmos1s0z6sqmg2s3fmu3aqyf8ap82cwsj239mjeedf2,19.05,2022-01-19T08:29:47.000Z
8585AFA9EB0684D5D785696F723897E654A48B59874E91D9C4DC47E8D49987D8,osmo1s0z6sqmg2s3fmu3aqyf8ap82cwsj239m6z2alc,cosmos1s0z6sqmg2s3fmu3aqyf8ap82cwsj239mjeedf2,19.05,2022-01-19T08:29:47.000Z
D15088F905AFD0A35EDDA02EEEC7BF48B8766F4DDC630300642DDCE9B3A927AF,osmo1s0z6sqmg2s3fmu3aqyf8ap82cwsj239m6z2alc,cosmos1s0z6sqmg2s3fmu3aqyf8ap82cwsj239mjeedf2,19.05,2022-01-19T08:29:47.000Z
31D23ACA417789A70684F2A9A3C611A0A3706A87ADBF0483A9C7797B9056E35A,osmo1s0z6sqmg2s3fmu3aqyf8ap82cwsj239m6z2alc,cosmos1s0z6sqmg2s3fmu3aqyf8ap82cwsj239mjeedf2,19.05,2022-01-19T08:29:29.000Z
8CDB2E2EF852BB2ED6CB50FD02C3F2F2BDE394E9B152A6A5DFC77A1C6A61FAF5,osmo1wu2errhyu4jdwugwxlav2x6heucln5l3pnx8kr,cosmos1wu2errhyu4jdwugwxlav2x6heucln5l3fg4hq3,0.599116,2022-01-19T08:28:39.000Z
CAD99C9EC5D6FF7C18B78726F5FF74AD5422DD445C8C7318DEC77E417B2E746E,osmo1wu2errhyu4jdwugwxlav2x6heucln5l3pnx8kr,cosmos1wu2errhyu4jdwugwxlav2x6heucln5l3fg4hq3,0.599116,2022-01-19T08:28:39.000Z
729863A52911DCFBFCEEE1CCF4B0AE60CD26C4CF44B3F82A856CD419CF040A30,osmo1mtahhqa2e7xhqjxlxcwf9lkt8wcaqrr7pva77k,cosmos1mtahhqa2e7xhqjxlxcwf9lkt8wcaqrr7fhwwgy,12.0,2022-01-19T08:28:19.000Z
9838015D6932B83A5D46371A6974E40D8F6FEF0A2AC17142EA8B7E23DC43ECFB,osmo1mtahhqa2e7xhqjxlxcwf9lkt8wcaqrr7pva77k,cosmos1mtahhqa2e7xhqjxlxcwf9lkt8wcaqrr7fhwwgy,12.0,2022-01-19T08:28:19.000Z
043E11A7F55746E11AB55EA0B0E14FA06DD8A6E3C2AE43D2CFF73F36961CC1B6,osmo1mtahhqa2e7xhqjxlxcwf9lkt8wcaqrr7pva77k,cosmos1mtahhqa2e7xhqjxlxcwf9lkt8wcaqrr7fhwwgy,12.0,2022-01-19T08:28:19.000Z
A2786918A5E83CCFD5B687DC34F349ED0B979B2B8758211342525AE4EDA2B50C,osmo1mtahhqa2e7xhqjxlxcwf9lkt8wcaqrr7pva77k,cosmos1mtahhqa2e7xhqjxlxcwf9lkt8wcaqrr7fhwwgy,12.0,2022-01-19T08:27:06.000Z
9E2E74D061988E3A695E31E6CA637F7361EC3BC5C1D760F53FCF16722A1AC3BB,osmo1mtahhqa2e7xhqjxlxcwf9lkt8wcaqrr7pva77k,cosmos1mtahhqa2e7xhqjxlxcwf9lkt8wcaqrr7fhwwgy,12.0,2022-01-19T08:26:36.000Z
5904741C4B2C9F148BC1A7ACFE9518E7398155D401EFED189F7AAAA3A266927F,osmo1mtahhqa2e7xhqjxlxcwf9lkt8wcaqrr7pva77k,cosmos1mtahhqa2e7xhqjxlxcwf9lkt8wcaqrr7fhwwgy,12.0,2022-01-19T08:26:30.000Z
014EF5F44CBBE0E23DFCC388F6D1F96121EDA1642020D4F29E0973B5CAD0D9DE,osmo1mtahhqa2e7xhqjxlxcwf9lkt8wcaqrr7pva77k,cosmos1mtahhqa2e7xhqjxlxcwf9lkt8wcaqrr7fhwwgy,12.0,2022-01-19T08:26:08.000Z
2C04DBC64443DFCAEB6EA223AF92D7EAFB302AA758027E1A445B0D6A6715DE17,osmo133vndxa3ejdjh7utrkmaterq4hfcng0he8gafd,cosmos142hdggyxmw9fje5rtmfc8mlt587sjg7afu54fg,0.375486,2022-01-19T08:26:01.000Z
7C716E8495F2F92767DC975AE84143BAC957CF64B1A492C7A9C962AC3D58B0DF,osmo133vndxa3ejdjh7utrkmaterq4hfcng0he8gafd,cosmos142hdggyxmw9fje5rtmfc8mlt587sjg7afu54fg,0.375486,2022-01-19T08:26:01.000Z
3F43D278A5E5E94DAC46DCBFDCDF569CEF1E8461EE17332B8DF581F253A57862,osmo133vndxa3ejdjh7utrkmaterq4hfcng0he8gafd,cosmos142hdggyxmw9fje5rtmfc8mlt587sjg7afu54fg,0.375486,2022-01-19T08:26:01.000Z
F713F07FA381757F0AA56FC6BBFA42F576973C23EBC6BAF5CE10626B9F5F016B,osmo133vndxa3ejdjh7utrkmaterq4hfcng0he8gafd,cosmos142hdggyxmw9fje5rtmfc8mlt587sjg7afu54fg,0.375486,2022-01-19T08:25:26.000Z
75B416D73E2C38B4C7EFF215A230D4002914C6B1509044E891A0C988FEBAFE97,osmo133vndxa3ejdjh7utrkmaterq4hfcng0he8gafd,cosmos142hdggyxmw9fje5rtmfc8mlt587sjg7afu54fg,0.375486,2022-01-19T08:25:11.000Z
44BFF54779B81065F3D70A56C4346E697EFEE1FA2DC2B8989467A4944A235869,osmo133vndxa3ejdjh7utrkmaterq4hfcng0he8gafd,cosmos142hdggyxmw9fje5rtmfc8mlt587sjg7afu54fg,0.375486,2022-01-19T08:24:56.000Z
92422790B3A90D929D2B775E15BBAEC52D25F2582CCF4097AA637BD4D9265E61,osmo133vndxa3ejdjh7utrkmaterq4hfcng0he8gafd,cosmos142hdggyxmw9fje5rtmfc8mlt587sjg7afu54fg,0.375486,2022-01-19T08:24:44.000Z
92A58F3A7D2BC16EC044B0F4B6D3EC5A07954ED54A02F1ACF9298CA1935B5346,osmo1alw6erwtmpza4cekcjs7uxaudz7m9vq8u9wqks,cosmos1alw6erwtmpza4cekcjs7uxaudz7m9vq857asqz,5.0,2022-01-19T08:24:13.000Z
695B4175A824CDBC17C9691A9429CEF74EE8E0DECFFC56003658A34FA7AB98BA,osmo1alw6erwtmpza4cekcjs7uxaudz7m9vq8u9wqks,cosmos1alw6erwtmpza4cekcjs7uxaudz7m9vq857asqz,5.0,2022-01-19T08:24:13.000Z
84E8D29B19739B2A2087634925906CB328E884D2E46BF0A8697FE7E5D999D2B6,osmo1alw6erwtmpza4cekcjs7uxaudz7m9vq8u9wqks,cosmos1alw6erwtmpza4cekcjs7uxaudz7m9vq857asqz,5.0,2022-01-19T08:24:13.000Z
A202E59B56FE0A3DC511EE219AA9FED36A0C95DAA728895C624D9A9F13D3CFBE,osmo10ay2aezex70xthzvzaz7x0qkl9jmnce55dl0wz,cosmos10ay2aezex70xthzvzaz7x0qkl9jmnce5ukvlcs,12.806903,2022-01-19T08:23:33.000Z
CC9A64173B8BCA50140136402397E4A1E3CE524C9B434A47DA0D5A7187DB1E91,osmo10ay2aezex70xthzvzaz7x0qkl9jmnce55dl0wz,cosmos10ay2aezex70xthzvzaz7x0qkl9jmnce5ukvlcs,12.806903,2022-01-19T08:23:33.000Z
6F2681F0EB376D372E28426A5E683186002DDE9DDB4C53A2002A617EAC24A5A8,osmo14nzyt8wmx4g6zkeluelukamgsh5v4xgnnzn4j8,cosmos14nzyt8wmx4g6zkeluelukamgsh5v4xgnmeq9y4,145.73904,2022-01-19T08:22:48.000Z
6970AD09B884E1739FE97BEE489E69B0E7F48963185138DF66DA5C40422F31F0,osmo14nzyt8wmx4g6zkeluelukamgsh5v4xgnnzn4j8,cosmos14nzyt8wmx4g6zkeluelukamgsh5v4xgnmeq9y4,145.73904,2022-01-19T08:22:48.000Z
88373E093D412614AD2D4D24A4B0F035E4E68DF1B4AC396F06903FC82745EFA0,osmo19gq27x5nzm0spekwgy7eez5rkvgsqg7mv0jnhg,cosmos19gq27x5nzm0spekwgy7eez5rkvgsqg7my5prp6,2.2721489999999998,2022-01-19T08:22:48.000Z
FF54D81331F833C4B5E88933B6A5B51C9FF59D2F81912029534334E8654D7991,osmo19gq27x5nzm0spekwgy7eez5rkvgsqg7mv0jnhg,cosmos19gq27x5nzm0spekwgy7eez5rkvgsqg7my5prp6,2.2721489999999998,2022-01-19T08:22:48.000Z
92F7AE9D7B9052A04A1F14B001D4BC320998087A053464C60C503AD8A2189F1A,osmo1puwjs3s066jyv4hvgg9q5wyzv70suyjre6auq7,cosmos1puwjs3s066jyv4hvgg9q5wyzv70suyjr3pwvkv,1.1440789999999998,2022-01-19T08:22:21.000Z
CE67B4AF5F6A9488EB6181521E791ACA84284435907859B462BE99DD352C666C,osmo1puwjs3s066jyv4hvgg9q5wyzv70suyjre6auq7,cosmos1puwjs3s066jyv4hvgg9q5wyzv70suyjr3pwvkv,1.1440789999999998,2022-01-19T08:22:21.000Z
E86E08A1C7281250559871F2530617353798125720FEB8764D9D5F7F33AB725B,osmo1puwjs3s066jyv4hvgg9q5wyzv70suyjre6auq7,cosmos1puwjs3s066jyv4hvgg9q5wyzv70suyjr3pwvkv,1.1440789999999998,2022-01-19T08:21:39.000Z
0EC5988DAA0FD8EC3C91E546AD8C952FB70FF03AEE99E679F734FE9EDB284F2B,osmo1puwjs3s066jyv4hvgg9q5wyzv70suyjre6auq7,cosmos1puwjs3s066jyv4hvgg9q5wyzv70suyjr3pwvkv,1.1440789999999998,2022-01-19T08:21:39.000Z
E1B3A32CCDC567F2CCF60067D20070AF79736C16D047730965EDB4B48787579F,osmo177xlssyax78qk4shusy7nx00mgku7j6l9lmjn4,cosmos177xlssyax78qk4shusy7nx00mgku7j6ldygz98,17.37847,2022-01-19T08:20:22.000Z
FA8D39199624E59C1CC1CDCE4BD939DBF372DFE2E1415B0719DA50CBA405AB4B,osmo177xlssyax78qk4shusy7nx00mgku7j6l9lmjn4,cosmos177xlssyax78qk4shusy7nx00mgku7j6ldygz98,17.37847,2022-01-19T08:20:22.000Z
93F16E8B7AACF4EDCB774785F95E0EDB465BF74FD38AFA37B39CC2E0B7DB77EF,osmo15a8w994amu8twywekvwfq0djr9qgxh42euseuh,cosmos15a8w994amu8twywekvwfq0djr9qgxh4238rf29,1.4999999999999999e-05,2022-01-19T08:20:22.000Z
47F66040772CDF024CFBFB8FBB21740BA64BCD84F1DC40065FB7E5C1AB197B03,osmo15a8w994amu8twywekvwfq0djr9qgxh42euseuh,cosmos15a8w994amu8twywekvwfq0djr9qgxh4238rf29,1.4999999999999999e-05,2022-01-19T08:20:22.000Z
